,Protein ID,Gene names
408,P78417,GSTO1
409,P80108,GPLD1
410,P80188,LCN2
411,P80723,BASP1
412,P80748,IGLV3-21
413,P81605,DCD
414,P98160,HSPG2
415,Q01459,CTBS
416,Q02985,CFHR3
417,Q06033,ITIH3
418,Q06830,PRDX1
419,Q07065,CKAP4
420,Q07075,ENPEP
421,Q07954,LRP1
422,Q08188,TGM3
423,Q08211,DHX9
424,Q08380,LGALS3BP
425,Q08830,FGL1
426,Q12841,FSTL1
427,Q12860,CNTN1
428,Q12866,MERTK
429,Q12907,LMAN2
430,Q13093,PLA2G7
431,Q13103,SPP2
432,Q13201,MMRN1
433,Q13228,SELENBP1
434,Q13740,ALCAM
435,Q13790,APOF
436,Q14118,DAG1
437,Q14515,SPARCL1
438,Q14520,HABP2
439,Q14624,ITIH4
440,Q14997,PSME4
441,Q15063-2,POSTN
442,Q15113,PCOLCE
443,Q15166,PON3
444,Q15293,RCN1
445,Q15404,RSU1
446,Q15485,FCN2
447,Q15582,TGFBI
448,Q15828,CST6
449,Q15848,ADIPOQ
450,Q15942,ZYX
451,Q16270,IGFBP7
452,Q16394,EXT1
453,Q16610,ECM1
454,Q16706,MAN2A1
455,Q16853,AOC3
456,Q3LXA3,TKFC
457,Q562R1,ACTBL2
458,Q5T123,SH3BGRL3
459,Q6EMK4,VASN
460,Q6GTS8,PM20D1
461,Q6P179,ERAP2
462,Q6P387,C16orf46
463,Q6UX71,PLXDC2
464,Q6UXB8,PI16
465,Q6UY14,ADAMTSL4
466,Q6YHK3,CD109
467,Q76LX8,ADAMTS13
468,Q86U17,SERPINA11
469,Q86UD1,OAF
470,Q86UN3,RTN4RL2
471,Q86UX7,FERMT3
472,Q8IZF2,ADGRF5
473,Q8NBJ4,GOLM1
474,Q8NBP7,PCSK9
475,Q8TF72,SHROOM3
476,Q8WWZ8,OIT3
477,Q8WZ75,ROBO4
478,Q92496,CFHR4
479,Q92820,GGH
480,Q92859,NEO1
481,Q96IY4,CPB2
482,Q96KN2,CNDP1
483,Q96PD5,PGLYRP2
484,Q96RD9,FCRL5
485,Q96S96,PEBP4
486,Q99650,OSMR
487,Q99784,OLFM1
488,Q99983,OMD
489,Q9BS26,ERP44
490,Q9BTY2,FUCA2
491,Q9BWP8,COLEC11
492,Q9BXR6,CFHR5
493,Q9BYE9,CDHR2
494,Q9H4A9,DPEP2
495,Q9H4B7,TUBB1
496,Q9H8L6,MMRN2
497,Q9HBW1,LRRC4
498,Q9HCU0,CD248
499,Q9HDC9,APMAP
500,Q9NPG4,PCDH12
501,Q9NPH3,IL1RAP
502,Q9NPY3,CD93
503,Q9NR99,MXRA5
504,Q9NZ08,ERAP1
505,Q9NZP8,C1RL
506,Q9NZT1,CALML5
507,Q9P232,CNTN3
508,Q9UBG0,MRC2
509,Q9UEW3,MARCO
510,Q9UGM5,FETUB
511,Q9UHG3,PCYOX1
512,Q9UJJ9,GNPTG
513,Q9UKU6,TRHDE
514,Q9UNN8,PROCR
515,Q9UNW1,MINPP1
516,Q9Y490,TLN1
517,Q9Y4L1,HYOU1
518,Q9Y5C1,ANGPTL3
519,Q9Y5Y7,LYVE1
520,Q9Y646,CPQ
521,Q9Y6R7,FCGBP
522,Q9Y6Z7,COLEC10
523,V9GYM3,APOA2
